"","modGenes","module","colourRGB"
"5363","AARA008159","grey","#BEBEBE"
"5364","AARA008160","darkolivegreen","#556B2F"
"5365","AARA008161","ivory","#FFFFF0"
"5366","AARA008162","salmon","#FA8072"
"5367","AARA008163","salmon","#FA8072"
"5368","AARA008164","grey","#BEBEBE"
"5369","AARA008165","salmon","#FA8072"
"5370","AARA008166","black","#000000"
"5371","AARA008167","brown","#A52A2A"
"5372","AARA008168","purple","#A020F0"
"5373","AARA008169","darkorange","#FF8C00"
"5374","AARA008170","brown","#A52A2A"
"5375","AARA008171","salmon","#FA8072"
"5376","AARA008174","salmon","#FA8072"
"5377","AARA008175","grey","#BEBEBE"
"5378","AARA008176","brown","#A52A2A"
"5379","AARA008177","purple","#A020F0"
"5380","AARA008178","orange","#FFA500"
"5381","AARA008179","purple","#A020F0"
"5382","AARA008180","greenyellow","#ADFF2F"
"5383","AARA008181","salmon","#FA8072"
"5384","AARA008182","purple","#A020F0"
"5385","AARA008183","salmon","#FA8072"
"5386","AARA008184","salmon","#FA8072"
"5387","AARA008185","purple","#A020F0"
"5388","AARA008186","midnightblue","#191970"
"5389","AARA008187","brown","#A52A2A"
"5390","AARA008188","grey","#BEBEBE"
"5391","AARA008189","salmon","#FA8072"
"5392","AARA008190","salmon","#FA8072"
"5393","AARA008191","purple","#A020F0"
"5394","AARA008192","salmon","#FA8072"
"5395","AARA008193","grey","#BEBEBE"
"5396","AARA008195","salmon","#FA8072"
"5397","AARA008196","brown","#A52A2A"
"5398","AARA008197","salmon","#FA8072"
"5399","AARA008198","salmon","#FA8072"
"5400","AARA008200","darkolivegreen","#556B2F"
"5401","AARA008201","midnightblue","#191970"
"5402","AARA008202","salmon","#FA8072"
"5403","AARA008203","orange","#FFA500"
"5404","AARA008204","darkorange","#FF8C00"
"5405","AARA008205","salmon","#FA8072"
"5406","AARA008206","brown","#A52A2A"
"5407","AARA008207","midnightblue","#191970"
"5408","AARA008208","grey","#BEBEBE"
"5409","AARA008209","salmon","#FA8072"
"5410","AARA008210","orange","#FFA500"
"5411","AARA008212","black","#000000"
"5412","AARA008214","floralwhite","#FFFAF0"
"5413","AARA008215","brown","#A52A2A"
"5414","AARA008216","salmon","#FA8072"
"5415","AARA008217","grey","#BEBEBE"
"5416","AARA008218","midnightblue","#191970"
"5417","AARA008219","floralwhite","#FFFAF0"
"5418","AARA008220","grey","#BEBEBE"
"5419","AARA008221","black","#000000"
"5420","AARA008223","midnightblue","#191970"
"5421","AARA008225","midnightblue","#191970"
"5422","AARA008226","orangered4","#8B2500"
"5423","AARA008228","darkorange","#FF8C00"
"5424","AARA008229","grey","#BEBEBE"
"5425","AARA008230","purple","#A020F0"
"5426","AARA008231","paleturquoise","#AFEEEE"
"5427","AARA008232","salmon","#FA8072"
"5428","AARA008233","darkmagenta","#8B008B"
"5429","AARA008234","paleturquoise","#AFEEEE"
"5430","AARA008235","salmon","#FA8072"
"5431","AARA008236","salmon","#FA8072"
"5432","AARA008237","salmon","#FA8072"
"5433","AARA008238","purple","#A020F0"
"5434","AARA008239","brown","#A52A2A"
"5435","AARA008240","salmon","#FA8072"
"5436","AARA008241","salmon","#FA8072"
"5437","AARA008242","purple","#A020F0"
"5438","AARA008243","salmon","#FA8072"
"5439","AARA008244","darkturquoise","#00CED1"
"5440","AARA008245","grey","#BEBEBE"
"5441","AARA008248","darkmagenta","#8B008B"
"5442","AARA008249","darkmagenta","#8B008B"
"5443","AARA008250","midnightblue","#191970"
"5444","AARA008251","salmon","#FA8072"
"5445","AARA008252","darkorange","#FF8C00"
"5446","AARA008253","salmon","#FA8072"
"5447","AARA008254","darkorange","#FF8C00"
"5448","AARA008255","brown","#A52A2A"
"5449","AARA008257","grey","#BEBEBE"
"5450","AARA008258","darkturquoise","#00CED1"
"5451","AARA008259","grey","#BEBEBE"
"5452","AARA008260","salmon","#FA8072"
"5453","AARA008261","brown","#A52A2A"
"5454","AARA008262","brown","#A52A2A"
"5455","AARA008263","salmon","#FA8072"
"5456","AARA008264","greenyellow","#ADFF2F"
"5457","AARA008265","midnightblue","#191970"
"5458","AARA008266","midnightblue","#191970"
"5459","AARA008267","brown","#A52A2A"
"5460","AARA008269","grey","#BEBEBE"
"5461","AARA008270","brown","#A52A2A"
"5462","AARA008271","salmon","#FA8072"
"5463","AARA008272","brown","#A52A2A"
"5464","AARA008273","midnightblue","#191970"
"5465","AARA008274","brown","#A52A2A"
"5466","AARA008275","brown","#A52A2A"
"5467","AARA008276","greenyellow","#ADFF2F"
